priority,url,domain,type,serp_keyword,already_mentions_simplyenak,page_words,contact_email,contact_status,traffic_check_ahrefs,outreach_status,angle,added
P1,https://passportsandpreemies.com/tours-in-kuala-lumpur,passportsandpreemies.com,food-tour listicle,best food tours in Kuala Lumpur,no,2205,passportsandpreemies@gmail.com,ready,PENDING (no API key),not started,KL food guide: pitch tour as 'eat like a local' recommendation,2026-09-08
P1,https://powertraveller.com/best-food-tours-in-kuala-lumpur,powertraveller.com,food-tour listicle,best food tours in Kuala Lumpur,no,4523,,find contact (form/social),PENDING (no API key),not started,25-tour listicle: pitch Inside Pudu / KL street food entry,2026-09-08
P1,https://thingstodokualalumpur.com/food-tours,thingstodokualalumpur.com,food-tour listicle,best food tours in Kuala Lumpur,no,2522,,find contact (form/social),PENDING (no API key),not started,Comparison page (US$39-180): get listed with direct-booking price,2026-09-08
P1,https://travel-buddies.com/best-food-tours-in-kuala-lumpur,travel-buddies.com,food-tour listicle,best food tours in Kuala Lumpur,no,3642,,find contact (form/social),PENDING (no API key),not started,20-tour listicle: KL entry with local-guide angle,2026-09-08
P1,https://travel-by-maya.com/kuala-lumpur-street-food-tour,travel-by-maya.com,food-tour listicle,best food tours in Kuala Lumpur,no,4610,info@travel-by-maya.com; maya@travel-by-maya.com,ready,PENDING (no API key),not started,Street food focus: Chow Kit / Pudu stops angle,2026-09-08
P1,https://travelersuniverse.com/10-must-try-food-tours-in-kuala-lumpur,travelersuniverse.com,food-tour listicle,best food tours in Kuala Lumpur,no,2602,,find contact (form/social),PENDING (no API key),not started,10 must-try: pitch Flavours of Malaysia,2026-09-08
P1,https://ummiaroundmalaysia.com/best-food-tours-in-malaysia,ummiaroundmalaysia.com,food-tour listicle,best food tours in Kuala Lumpur,no,2613,,find contact (form/social),PENDING (no API key),not started,"Malaysia-wide round-up: pitch KL + Penang tours, comped tour for writer",2026-09-08
P1,https://womenwanderingbeyond.com/kuala-lumpur-food-tour,womenwanderingbeyond.com,food-tour listicle,best food tours in Kuala Lumpur,no,5368,aisha@womenwanderingbeyond.com,ready,PENDING (no API key),not started,"Solo-female angle: safe night eating, Secrets of KL tour",2026-09-08
P2,https://been-there-done-that.net/2026/01/25/kuala-lumpur-13-local-foodspots,been-there-done-that.net,guide/blog,Kuala Lumpur food blog hidden gems local,no,1957,,find contact (form/social),PENDING (no API key),not started,KL food guide: pitch tour as 'eat like a local' recommendation,2026-09-08
P2,https://beyondthebucketlist.co/what-to-eat-in-kuala-lumpur,beyondthebucketlist.co,guide/blog,Kuala Lumpur food blog hidden gems local,no,2312,,find contact (form/social),PENDING (no API key),not started,KL food guide: pitch tour as 'eat like a local' recommendation,2026-09-08
P2,https://girlonazebra.com/best-food-to-eat-in-kuala-lumpur,girlonazebra.com,guide/blog,Kuala Lumpur food blog hidden gems local,no,3820,,find contact (form/social),PENDING (no API key),not started,KL food guide: pitch tour as 'eat like a local' recommendation,2026-09-08
P2,https://happytovisit.com/kuala-lumpurs-15-best-food-tours-with-prices-reviews,happytovisit.com,guide/blog,best food tours in Kuala Lumpur,no,3687,,find contact (form/social),PENDING (no API key),not started,KL food guide: pitch tour as 'eat like a local' recommendation,2026-09-08
P2,https://hayleyonholiday.com/best-food-in-kuala-lumpur,hayleyonholiday.com,guide/blog,Kuala Lumpur food blog hidden gems local,no,3755,,find contact (form/social),PENDING (no API key),not started,KL food guide: pitch tour as 'eat like a local' recommendation,2026-09-08
P2,https://kirkdamaso.com/2025/06/best-food-finds-in-kuala-lumpur.html,kirkdamaso.com,guide/blog,Kuala Lumpur food blog hidden gems local,no,3292,kirktonic@gmail.com,ready,PENDING (no API key),not started,KL food guide: pitch tour as 'eat like a local' recommendation,2026-09-08
P2,https://kualalumpurwithkids.com/where-to-eat-in-kl,kualalumpurwithkids.com,guide/blog,Kuala Lumpur food blog hidden gems local,no,3809,,find contact (form/social),PENDING (no API key),not started,KL food guide: pitch tour as 'eat like a local' recommendation,2026-09-08
P2,https://theordinarykatalog.com/kuala-lumpur-food-guide,theordinarykatalog.com,guide/blog,Kuala Lumpur food blog hidden gems local,no,7907,,find contact (form/social),PENDING (no API key),not started,KL food guide: pitch tour as 'eat like a local' recommendation,2026-09-08
P2,https://thewayfaringsoul.com/where-to-eat-affordably-kuala-lumpur,thewayfaringsoul.com,guide/blog,Kuala Lumpur food blog hidden gems local,no,1920,,find contact (form/social),PENDING (no API key),not started,KL food guide: pitch tour as 'eat like a local' recommendation,2026-09-08
P2,https://wearethemouth.com/city-guide-kuala-lumpur,wearethemouth.com,guide/blog,Kuala Lumpur food blog hidden gems local,no,3751,wearethemouth@gmail.com,ready,PENDING (no API key),not started,KL food guide: pitch tour as 'eat like a local' recommendation,2026-09-08
P3,https://angkasatourtravel.com/kuala-lumpur-genting-3d2n-by-citilink,angkasatourtravel.com,low-fit,durian tour Kuala Lumpur,no,860,info@angkasatourtravel.com,ready,PENDING (no API key),not started,Low fit - only if cheap/quick,2026-09-08
P3,https://www.durianbros.com.my/durian-enak-di-kuala-lumpur,durianbros.com.my,low-fit,durian tour Kuala Lumpur,no,922,,find contact (form/social),PENDING (no API key),not started,Low fit - only if cheap/quick,2026-09-08
P3,https://rri.co.id/banda-aceh/wisata/1811221/menikmati-durian-di-kuala-lumpur-durian-fest-2025,rri.co.id,low-fit,durian tour Kuala Lumpur,no,658,beritapro3@rri.go.id,ready,PENDING (no API key),not started,Low fit - only if cheap/quick,2026-09-08
P3,https://travelarbitrage.net/en/blog/zh_kuala_lumpur_food_2026,travelarbitrage.net,low-fit,Kuala Lumpur food blog hidden gems local,no,1635,hello@travelarbitrage.net,ready,PENDING (no API key),not started,Low fit - only if cheap/quick,2026-09-08
